Stage,Sprite,Color,Condition,ConVal1,ConVal2,Result,ResVal1,ResVal2
101,1,W,SushiEaten,Egg,X,GenerateCard1,SushiStandBy,X
102,0,W,SushiEaten,Shrimp,X,GenerateCard1,SushiStandBy,X
102,2,W,CardPlaced,Egg,X,GenerateCard1,SushiStandBy,X
103,3,W,CardPlaced,Egg,X,GenerateCard1,SushiStandBy,X
103,4,W,SushiEaten,Shrimp,X,GenerateCard1,SushiStandBy,X
103,0,W,SushiEaten,SushiStandBy,X,GenerateCard1,Egg,X
104,1,W,SushiEaten,Shrimp,X,GenerateCard1,SushiStandBy,X
104,2,W,CardGenerated,Egg,X,GenerateCard1,SushiStandBy,X
105,3,W,SushiEaten,Egg,X,GenerateCard1,SushiStandBy,X
105,4,W,CardPlaced,SushiStandBy,X,GenerateCard1,Egg,X
106,2,W,CardPlaced,Egg,X,GenerateCard1,SushiStandBy,X
106,0,W,CardPlaced,SushiStandBy,X,GenerateCard1,Shrimp,X
106,1,W,CardGenerated,SushiStandBy,X,GenerateCard1,SushiStandBy,X
107,4,W,CardPlaced,Egg,X,GenerateCard1,SushiStandBy,X
107,3,W,SushiEaten,Shrimp,X,GenerateCard1,SushiStandBy,X
108,1,W,CardPlaced,Egg,X,GenerateCard1,SushiStandBy,X
108,0,W,SushiEaten,Egg,X,GenerateCard1,SushiStandBy,X
109,2,W,CardPlaced,Egg,X,GenerateCard1,SushiStandBy,X
109,3,W,SushiEaten,Shrimp,X,GenerateCard1,SushiStandBy,X
109,4,W,SushiEaten,Unagi,X,GiveTip,X,X
110,1,W,SushiEaten,Egg,X,GenerateCard1,SushiStandBy,X
110,2,W,SushiEaten,SushiStandBy,X,GenerateCard1,Egg,X
110,0,W,CardGenerated,SushiStandBy,X,GenerateCard1,SushiStandBy,X
201,3,W,SushiEaten,Egg,X,GenerateSushi,SushiStandBy,X
202,4,W,SushiEaten,SushiStandBy,X,GenerateSushi,SushiStandBy,X
203,0,W,CardPlaced,Egg,X,GenerateCard1,SushiStandBy,X
203,1,W,SushiEaten,Egg,X,GenerateSushi,SushiStandBy,X
203,2,W,SushiEaten,Shrimp,X,GenerateSushi,SushiStandBy,X
204,4,W,SushiEaten,Shrimp,X,GenerateSushi,SushiStandBy,X
204,3,W,CardPlaced,SushiStandBy,X,GenerateSushi,SushiStandBy,X
205,2,W,SushiEaten,SushiStandBy,X,GenerateSushi,Shrimp,X
205,1,W,SushiEaten,SushiStandBy,X,GenerateSushi,Unagi,X
205,0,W,CardPlaced,SushiStandBy,X,GenerateSushi,SushiStandBy,X
206,0,W,CardPlaced,Shrimp,X,GenerateSushi,SushiStandBy,X
206,4,W,SushiEaten,Egg,X,GenerateSushi,SushiStandBy,X
206,1,W,CardPlaced,SushiStandBy,X,GenerateSushi,SushiStandBy,X
206,3,W,SushiEaten,SushiStandBy,X,GenerateSushi,SushiStandBy,X
207,2,W,SushiGenerated,SushiStandBy,X,GenerateSushi,SushiStandBy,X
207,3,W,SushiEaten,Egg,X,GenerateSushi,SushiStandBy,X
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
501,0,B,X,X,X,X,X,X
501,1,Y,SushiEaten,SushiStandBy,X,GiveTip,X,X
501,2,B,X,X,X,X,X,X
501,3,W,X,X,X,X,X,X
502,1,B,X,X,X,X,X,X
502,3,Y,X,X,X,X,X,X
502,0,R,SushiEaten,SushiStandBy,X,GenerateSushi,SushiStandBy,X
502,4,W,SushiEaten,SushiStandBy,X,GenerateSushi,SushiStandBy,X
503,4,W,X,X,X,X,X,X
503,2,R,SushiEaten,Any,X,EmptyNextDish,X,X
503,1,Y,X,X,X,X,X,X
504,3,W,X,X,X,X,X,X
504,3,R,SushiEaten,Any,X,EmptyNextDish,X,X
504,1,Y,SushiEaten,SushiStandBy,X,GenerateCard2,SushiStandBy,SushiStandBy
505,4,W,X,X,X,X,X,X
505,3,R,SushiEaten,SushiStandBy,X,GenerateCard1,SushiStandBy,X
505,1,Y,SushiEaten,Any,X,GiveTip,X,X
506,4,W,X,X,X,X,X,X
506,2,W,X,X,X,X,X,X
506,1,R,SushiEaten,Any,X,EmptyNextDish,X,X
506,3,Y,SushiEaten,SushiStandBy,X,GiveTip,X,X
507,4,W,X,X,X,X,X,X
507,4,B,SushiEaten,Any,X,EmptyColorDish,Y,X
507,1,R,SushiPassed,SushiStandBy,X,GenerateSushi,SushiStandBy,X
507,1,Y,SushiEaten,Any,X,GiveTip,X,X
508,3,W,X,X,X,X,X,X
508,2,B,SushiPassed,Y,X,GenerateSushi,SushiStandBy,X
508,1,R,SushiEaten,Any,X,EmptyNextDish,X,X
508,3,Y,SushiEaten,SushiStandBy,X,GiveTip,X,X
509,4,B,SushiEaten,SushiStandBy,X,GenerateSushi,SushiStandBy,X
509,4,Y,X,X,X,X,X,X
509,4,R,SushiEaten,SushiStandBy,X,GiveTip,X,X
509,1,R,SushiEaten,SushiStandBy,X,GenerateCard1,Egg,X
